1 2 3
98,12,35
81,83,80
22,9,30
31,54,12
59,76,4
12,65,18
54,59,14
17,100,27
8,65,72
76,35,64
9,54,64
35,33,42
8,49,75
57,90,43
66,97,95
14,40,4
25,12,68
30,56,40
21,56,57
2,17,15
92,15,29
79,44,31
75,3,34
69,17,84
84,54,1
54,88,12
64,71,52
8,64,31
42,94,88
29,67,33
89,63,46
71,83,68
55,27,50
82,27,13
1,1,23
40,3,25
3,43,4
51,99,8
27,99,12
27,61,37
62,14,47
44,14,61
48,76,70
15,72,38
97,17,51
48,2,23
92,65,22
55,6,42
4,64,94
97,26,33
27,61,27
3,52,81
79,58,23
61,2,77
7,13,32
48,45,70
3,97,13
12,45,81
28,78,43
26,71,32
57,64,17
62,17,97
94,63,6
14,18,33
29,29,40
62,68,27
22,44,30
3,31,17
39,10,42
33,74,9
98,12,23
6,54,12
60,36,4
52,28,50
41,12,57
75,19,22
95,62,44
13,15,52
51,56,86
83,91,5
5,25,87
38,6,33
66,91,72
68,75,87
35,41,3
74,85,19
36,76,83
24,40,34
22,14,80
83,68,83
16,63,47
74,25,92
91,25,97
46,80,64
99,1,36
48,65,31
39,75,23
45,26,86
46,20,35
7,55,82
2,15,22
62,71,27
22,27,82
68,59,26
7,87,75
47,37,9
90,98,98
44,55,76
44,70,71
4,74,48
79,15,80
61,98,73
8,62,66
86,30,63
14,91,2
61,81,18
53,100,11
48,77,74
61,52,6
32,58,63
10,84,46
96,17,84
84,90,68
30,90,2
72,29,56
30,73,80
55,32,10
27,29,72
86,15,38
89,100,15
62,83,23
51,99,6
12,9,84
34,80,71
85,98,47
98,57,99
65,92,97
69,88,36
45,64,86
49,27,26
83,75,35
3,79,46
43,75,89
40,66,22
68,45,41
43,67,20
15,93,10
79,84,88
15,73,69
23,4,95
46,73,78
76,82,47
66,92,91
7,64,15
22,87,10
16,84,42
13,86,10
1,27,86
17,50,65
63,97,46
45,97,23
46,41,41
37,21,86
56,33,32
89,10,83
54,24,45
53,41,22
81,67,49
90,28,18
50,18,71
33,21,19
80,47,80
29,85,97
93,8,82
48,23,72
42,19,16
76,65,5
10,94,63
54,17,41
16,22,34
20,13,14
41,97,81
69,50,78
68,40,32
81,89,61
88,92,60
83,92,90
62,77,40
75,60,69
73,65,85
31,15,60
22,82,56
75,14,53
69,25,80
2,94,63
89,67,87
36,17,42
6,55,98
99,2,33
9,52,77
36,75,55
95,65,76
57,6,99
1,79,88
39,58,7
78,42,29
19,66,46
94,92,92
70,91,68
83,53,25
8,95,35
43,36,65
88,26,27
85,37,27
87,27,26
28,65,37
56,80,51
6,75,6
48,47,34
28,65,38
7,41,79
7,84,98
92,78,34
5,40,38
88,71,33
65,91,8
83,37,87
60,57,31
52,24,24
30,85,96
57,92,95
73,2,45
55,83,50
15,96,11
18,24,24
60,46,75
10,7,18
32,70,19
11,53,17
8,38,48
33,83,55
85,6,11
56,51,54
80,22,62
22,82,93
31,6,83
7,51,38
65,73,4
94,26,5
30,2,69
48,77,30
94,80,2
83,68,60
78,41,77
47,29,94
60,38,72
77,83,75
54,66,99
50,93,74
20,20,19
36,97,69
37,98,52
89,2,24
7,98,43
12,86,100
19,2,22
98,78,79
23,87,93
100,36,62
11,93,78
12,12,77
6,85,67
55,66,58
8,96,74
13,2,92
11,40,58
83,31,92
90,50,87
44,60,24
69,16,15
60,90,52
52,15,49
18,47,20
36,40,11
34,71,65
69,60,67
67,44,69
33,63,45
94,66,37
84,66,20
89,14,12
75,73,62
68,12,46
39,59,60
76,36,81
82,80,100
73,92,52
71,21,46
73,77,76
87,56,5
94,60,30
16,62,65
63,31,35
82,21,59
40,96,22
41,60,84
49,100,59
94,80,96
60,11,55
37,8,23
19,68,15
57,12,77
54,37,38
95,28,39
16,60,32
10,21,22
35,66,66
22,28,41
45,90,56
84,79,90
98,33,6
40,49,77
21,46,2
69,65,33
29,89,32
78,75,71
21,41,99
85,73,34
1,87,37
70,93,51
65,41,98
58,4,22
91,5,1
4,39,98
90,40,13
16,21,12
30,24,68
30,85,23
64,87,38
7,66,62
85,7,64
86,32,46
31,31,73
74,14,9
29,78,59
63,44,35
66,12,52
44,48,18
74,5,92
66,78,44
4,30,44
22,68,92
82,82,49
45,85,58
36,83,59
82,56,93
86,75,89
16,35,100
46,29,73
73,85,26
51,95,17
41,26,37
10,64,31
10,50,28
65,99,86
64,80,20
40,49,24
69,79,23
74,47,22
27,12,31
71,39,15
64,95,12
80,61,7
98,40,4
23,72,85
52,91,98
26,90,5
10,7,1
40,7,20
8,62,73
24,34,52
20,90,15
27,44,86
64,22,22
18,65,64
75,73,24
47,63,53
43,71,97
80,54,63
10,44,13
42,19,43
63,100,10
78,99,91
53,83,1
93,51,11
46,42,88
10,99,46
95,6,30
63,34,58
35,30,24
71,11,100
37,35,27
44,60,29
74,52,89
25,35,36
22,91,13
37,61,70
30,19,14
28,65,91
24,61,37
74,69,70
39,60,36
16,75,57
93,37,60
17,23,17
67,83,96
46,63,43
90,49,73
88,41,80
42,19,40
52,95,4
25,20,46
